,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
65,Armenia,329,+39,1,,28,300,6,111,0.3
66,Hungary,300,+39,10,,34,256,6,31,1
67,Bulgaria,293,+29,3,,9,281,8,42,0.4
68,Latvia,280,+36,,,1,279,,148,
69,Slovakia,269,+43,,,2,267,1,49,
70,Andorra,267,+43,3,,1,263,11,"3,456",39
71,Taiwan,267,+15,2,,30,235,,11,0.08
72,Uruguay,238,,,,,238,3,69,
73,Jordan,235,+23,,,16,219,,23,
74,Bosnia and Herzegovina,232,+41,4,+1,5,223,1,71,1
75,Costa Rica,231,,2,,2,227,5,45,0.4
76,Tunisia,227,+30,6,+1,2,219,10,19,0.5
77,Ukraine,226,+30,5,,5,216,,5,0.1
78,Kuwait,225,+17,,,57,168,11,53,
79,San Marino,223,+15,21,,4,198,12,"6,572",619
80,North Macedonia,219,+18,3,,3,213,1,105,1
81,Moldova,199,+22,2,+1,2,195,33,49,0.5
82,Albania,186,+12,8,+2,31,147,3,65,3
83,Burkina Faso,180,+28,9,+2,12,159,,9,0.4
84,Azerbaijan,165,+43,3,,15,147,6,16,0.3
85,Vietnam,163,+10,,,20,143,3,2,
86,Cyprus,162,+16,5,+2,4,153,3,134,4
87,Réunion,145,+10,,,1,144,,162,
88,Faeroe Islands,144,+4,,,54,90,2,"2,947",
89,Malta,139,+5,,,2,137,1,315,
90,Kazakhstan,137,+24,1,,3,133,,7,0.05
91,Ghana,136,+4,4,,1,131,1,4,0.1
92,Oman,131,+22,,,23,108,,26,
93,Senegal,119,+14,,,11,108,,7,
94,Brunei,115,+1,,,11,104,1,263,
95,Venezuela,107,,1,,31,75,2,4,0.04
96,Sri Lanka,106,,,,7,99,5,5,
97,Cambodia,99,+1,,,11,88,1,6,
98,Ivory Coast,96,,,,3,93,,4,
99,Afghanistan,94,,4,,2,88,,2,0.1
100,Mauritius,94,+13,2,,,92,1,74,2
101,Belarus,94,+8,,,32,62,2,10,
102,Palestine,91,+5,1,,17,73,,18,0.2
103,Cameroon,88,+13,2,+1,2,84,,3,0.08
104,Uzbekistan,88,+13,1,+1,5,82,8,3,0.03
105,Georgia,83,+4,,,14,69,1,21,
106,Martinique,81,,1,,,80,12,216,3
107,Cuba,80,+13,2,,4,74,2,7,0.2
108,Channel Islands,80,+14,1,,,79,,460,6
109,Montenegro,75,+6,1,,,74,1,119,2
110,Guadeloupe,73,,1,,,72,4,182,2
111,Honduras,68,+1,1,,,67,,7,0.1
112,Trinidad and Tobago,66,+1,2,+1,1,63,,47,1
113,Nigeria,65,,1,,3,61,,0.3,0.00
114,Bolivia,61,,,,,61,,5,
115,Kyrgyzstan,58,+14,,,,58,,9,
116,Liechtenstein,56,,,,,56,,"1,469",
117,Gibraltar,55,+20,,,14,41,,"1,632",
118,Paraguay,52,+11,3,,1,48,1,7,0.4
119,DRC,51,,3,,2,46,,0.6,0.03
120,Mayotte,50,+14,,,,50,,183,
121,Rwanda,50,,,,,50,,4,
122,Bangladesh,48,+4,5,,11,32,1,0.3,0.03
123,Monaco,42,+9,,,1,41,,"1,070",
124,Macao,34,+1,,,10,24,,52,
125,Kenya,31,,1,,1,29,2,0.6,0.02
126,French Polynesia,30,,,,,30,,107,
127,Isle of Man,29,+3,,,,29,,341,
128,Aruba,28,,,,1,27,,262,
129,French Guiana,28,,,,6,22,,94,
130,Jamaica,26,,1,,2,23,,9,0.3
131,Guatemala,25,,1,,4,20,,1,0.06
132,Togo,25,+1,,,1,24,,3,
133,Barbados,24,,,,,24,,84,
134,Madagascar,24,+1,,,,24,,0.9,
135,Zambia,22,+6,,,,22,,1,
136,Uganda,18,+4,,,,18,,0.4,
137,Ethiopia,16,+4,,,,16,,0.1,
138,Maldives,16,+3,,,9,7,,30,
139,Bermuda,15,,,,2,13,,241,
140,New Caledonia,15,+1,,,,15,,53,
141,El Salvador,13,,,,,13,,2,
142,Tanzania,13,,,,1,12,,0.2,
143,Djibouti,12,+1,,,,12,,12,
144,Equatorial Guinea,12,,,,,12,,9,
145,Dominica,11,,,,,11,,153,
146,Mali,11,+7,,,,11,,0.5,
147,Mongolia,11,,,,,11,,3,
148,Saint Martin,11,,,,,11,,284,
149,Niger,10,,1,,,9,,0.4,0.04
150,Greenland,10,+4,,,2,8,,176,
151,Bahamas,9,,,,1,8,,23,
152,Eswatini,9,+3,,,,9,,8,
153,Cayman Islands,8,,1,,,7,,122,15
154,Guinea,8,+4,,,,8,,0.6,
155,Haiti,8,,,,,8,,0.7,
156,Namibia,8,,,,2,6,,3,
157,Suriname,8,,,,,8,,14,
158,Curaçao,7,,1,,2,4,,43,6
159,Gabon,7,,1,,,6,,3,0.4
160,Antigua and Barbuda,7,,,,,7,,71,
161,Grenada,7,,,,,7,,62,
162,Mozambique,7,,,,,7,,0.2,
163,Seychelles,7,,,,,7,,71,
164,Benin,6,,,,,6,,0.5,
165,Eritrea,6,,,,,6,,2,
166,Laos,6,,,,,6,,0.8,
167,Cabo Verde,5,,1,,,4,,9,2
168,Guyana,5,,1,,,4,,6,1
169,Zimbabwe,5,+2,1,,,4,,0.3,0.07
170,Fiji,5,,,,,5,,6,
171,Montserrat,5,,,,,5,,"1,002",
172,Myanmar,5,,,,,5,,0.09,
173,St. Barth,5,+2,,,,5,,506,
174,Syria,5,,,,,5,,0.3,
175,Nepal,4,+1,,,1,3,,0.1,
176,Angola,4,,,,,4,,0.1,
177,Congo,4,,,,,4,,0.7,
178,Vatican City,4,,,,,4,,"4,994",
179,Gambia,3,,1,,,2,,1,0.4
180,Sudan,3,,1,,,2,,0.07,0.02
181,Bhutan,3,+1,,,,3,,4,
182,CAR,3,,,,,3,,0.6,
183,Chad,3,,,,,3,,0.2,
184,Liberia,3,,,,,3,,0.6,
185,Mauritania,3,,,,,3,,0.6,
186,Saint Lucia,3,,,,1,2,,16,
187,Sint Maarten,3,,,,,3,,70,
188,Somalia,3,+1,,,,3,,0.2,
189,Nicaragua,2,,1,+1,,1,,0.3,0.2
190,Anguilla,2,,,,,2,,133,
191,Belize,2,,,,,2,,5,
192,British Virgin Islands,2,,,,,2,,66,
193,Guinea-Bissau,2,,,,,2,,1,
194,Saint Kitts and Nevis,2,,,,,2,,38,
195,Turks and Caicos,2,,,,,2,,52,
196,Libya,1,,,,,1,,0.1,
197,Papua New Guinea,1,,,,,1,,0.1,
198,St. Vincent Grenadines,1,,,,,1,,9,
199,Timor-Leste,1,,,,,1,,0.8,
200,Total:,"577,660","45,850","26,448","2,380","130,670","420,542","21,674",74.1,3.4
