,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
31,Romania,"1,292",,26,,115,"1,151",32,67,1
32,Thailand,"1,245",+109,6,+1,97,"1,142",11,18,0.09
33,South Africa,"1,170",,1,,31,"1,138",7,20,0.02
34,Saudi Arabia,"1,104",,3,,35,"1,066",6,32,0.09
35,Indonesia,"1,046",,87,,46,913,,4,0.3
36,Finland,"1,041",,7,,10,"1,024",32,188,1
37,Russia,"1,036",,4,,45,987,8,7,0.03
38,Greece,966,,28,,52,886,66,93,3
39,India,902,+15,20,,83,799,,0.7,0.01
40,Iceland,890,,2,,97,791,18,"2,608",6
41,Philippines,803,,54,,31,718,1,7,0.5
42,Panama,786,,14,,2,770,20,182,3
43,Singapore,732,,2,,183,547,17,125,0.3
44,Mexico,717,+132,12,+4,4,701,1,6,0.09
45,Diamond Princess,712,,10,,597,105,15,,
46,Argentina,690,+101,17,+4,72,601,,15,0.4
47,Peru,635,,11,,16,608,21,19,0.3
48,Slovenia,632,,9,,10,613,14,304,4
49,Croatia,586,,3,,37,546,14,143,0.7
50,Dominican Republic,581,,20,,3,558,,54,2
51,Estonia,575,,1,,11,563,7,433,0.8
52,Qatar,562,,,,43,519,6,195,
53,Colombia,539,,6,,10,523,,11,0.1
54,Egypt,536,,30,,116,390,,5,0.3
55,Serbia,528,,8,,42,478,25,60,0.9
56,Hong Kong,519,,4,,111,404,5,69,0.5
57,Bahrain,466,,4,,227,235,1,274,2
58,Iraq,458,,40,,122,296,,11,1.0
59,New Zealand,451,+83,,,50,401,2,94,
60,Algeria,409,,26,,29,354,,9,0.6
61,UAE,405,,2,,52,351,2,41,0.2
62,Lebanon,391,,8,,27,356,3,57,1
63,Lithuania,358,,5,,1,352,2,132,2
64,Morocco,345,,23,,11,311,1,9,0.6
65,Armenia,329,,1,,28,300,6,111,0.3
66,Ukraine,310,,5,,5,300,,7,0.1
67,Hungary,300,,10,,34,256,6,31,1
68,Bulgaria,293,,3,,9,281,8,42,0.4
69,Latvia,280,,,,1,279,,148,
70,Uruguay,274,+36,,,,274,8,79,
71,Slovakia,269,,,,2,267,1,49,
72,Andorra,267,,3,,1,263,11,"3,456",39
73,Taiwan,267,,2,,30,235,,11,0.08
74,Costa Rica,263,,2,,3,258,5,52,0.4
75,Bosnia and Herzegovina,237,,4,,5,228,1,72,1
76,Jordan,235,,1,,18,216,,23,0.10
77,Tunisia,227,,7,,2,218,10,19,0.6
78,Kuwait,225,,,,57,168,11,53,
79,San Marino,223,,21,,6,196,15,"6,572",619
80,North Macedonia,219,,3,,3,213,1,105,1
81,Moldova,199,,2,,2,195,33,49,0.5
82,Albania,186,,8,,31,147,3,65,3
83,Burkina Faso,180,,9,,12,159,,9,0.4
84,Vietnam,169,+6,,,20,149,3,2,
85,Azerbaijan,165,,3,,15,147,6,16,0.3
86,Cyprus,162,,5,,15,142,3,134,4
87,Kazakhstan,150,,1,,3,146,,8,0.05
88,Réunion,145,,,,1,144,,162,
89,Faeroe Islands,144,,,,54,90,2,"2,947",
90,Malta,139,,,,2,137,1,315,
91,Ghana,137,,4,,2,131,1,4,0.1
92,Oman,131,,,,23,108,,26,
93,Senegal,119,,,,11,108,,7,
94,Brunei,115,,1,+1,11,103,1,263,2
95,Venezuela,113,,2,,31,80,2,4,0.07
96,Afghanistan,110,,4,,2,104,,3,0.1
97,Sri Lanka,106,,,,7,99,5,5,
98,Uzbekistan,104,+16,2,+1,5,97,8,3,0.06
99,Ivory Coast,101,,,,3,98,,4,
100,Cambodia,99,,,,13,86,1,6,
101,Honduras,95,+27,1,,3,91,4,10,0.1
102,Mauritius,94,,2,,,92,1,74,2
103,Belarus,94,,,,32,62,2,10,
104,Martinique,93,,1,,,92,12,248,3
105,Cameroon,91,,2,,2,87,,3,0.08
106,Palestine,91,,1,,17,73,,18,0.2
107,Channel Islands,88,,1,,,87,,506,6
108,Georgia,83,,,,14,69,1,21,
109,Montenegro,82,,1,,,81,1,131,2
110,Cuba,80,,2,,4,74,2,7,0.2
111,Bolivia,74,+13,,,,74,,6,
112,Guadeloupe,73,,1,,,72,4,182,2
113,Nigeria,70,,1,,3,66,,0.3,0.00
114,Trinidad and Tobago,66,,2,,1,63,,47,1
115,Kyrgyzstan,58,,,,,58,,9,
116,Paraguay,56,+4,3,,1,52,1,8,0.4
117,Liechtenstein,56,,,,,56,,"1,469",
118,Gibraltar,55,,,,14,41,,"1,632",
119,Rwanda,54,,,,,54,,4,
120,DRC,51,,3,,2,46,,0.6,0.03
121,Mayotte,50,,,,,50,,183,
122,Bangladesh,48,,5,,11,32,1,0.3,0.03
123,Monaco,42,,,,1,41,,"1,070",
124,Macao,34,,,,10,24,,52,
125,Aruba,33,,,,1,32,,309,
126,Guatemala,32,+4,1,,4,27,1,2,0.06
127,Kenya,31,,1,,1,29,2,0.6,0.02
128,Jamaica,30,+4,1,,2,27,,10,0.3
129,French Polynesia,30,,,,,30,,107,
130,Isle of Man,29,,,,,29,,341,
131,French Guiana,28,,,,6,22,,94,
132,Barbados,26,,,,,26,,90,
133,Madagascar,26,,,,,26,,0.9,
134,Togo,25,,1,,1,23,,3,0.1
135,Uganda,23,,,,,23,,0.5,
136,Zambia,22,,,,,22,,1,
137,El Salvador,19,+6,,,,19,,3,
138,Bermuda,17,,,,2,15,,273,
139,Ethiopia,16,,,,,16,,0.1,
140,Maldives,16,,,,9,7,,30,
141,New Caledonia,15,,,,,15,,53,
142,Tanzania,13,,,,1,12,,0.2,
143,Djibouti,12,,,,,12,,12,
144,Equatorial Guinea,12,,,,,12,,9,
145,Mongolia,12,+1,,,,12,,4,
146,Dominica,11,,,,,11,,153,
147,Mali,11,,,,,11,,0.5,
148,Saint Martin,11,,,,,11,,284,
149,Niger,10,,1,,,9,,0.4,0.04
150,Bahamas,10,,,,1,9,,25,
151,Greenland,10,,,,2,8,,176,
152,Eswatini,9,,,,,9,,8,
153,Cayman Islands,8,,1,,,7,,122,15
154,Curaçao,8,,1,,2,5,,49,6
155,Guinea,8,,,,,8,,0.6,
156,Haiti,8,,,,,8,,0.7,
157,Myanmar,8,,,,,8,,0.1,
158,Namibia,8,,,,2,6,,3,
159,Suriname,8,,,,,8,,14,
160,Gabon,7,,1,,,6,,3,0.4
161,Antigua and Barbuda,7,,,,,7,,71,
162,Grenada,7,,,,,7,,62,
163,Mozambique,7,,,,,7,,0.2,
164,Seychelles,7,,,,,7,,71,
165,Benin,6,,,,,6,,0.5,
166,Eritrea,6,,,,,6,,2,
167,Laos,6,,,,,6,,0.8,
168,Cabo Verde,5,,1,,,4,,9,2
169,Guyana,5,,1,,,4,,6,1
170,Sudan,5,+2,1,,,4,,0.1,0.02
171,Zimbabwe,5,,1,,,4,,0.3,0.07
172,Fiji,5,,,,,5,,6,
173,Mauritania,5,+2,,,,5,,1,
174,Montserrat,5,,,,,5,,"1,002",
175,St. Barth,5,,,,,5,,506,
176,Syria,5,,,,,5,,0.3,
177,Nicaragua,4,,1,,,3,,0.6,0.2
178,Nepal,4,,,,1,3,,0.1,
179,Angola,4,,,,,4,,0.1,
180,Congo,4,,,,,4,,0.7,
181,Vatican City,4,,,,,4,,"4,994",
182,Gambia,3,,1,,,2,,1,0.4
183,Bhutan,3,,,,,3,,4,
184,CAR,3,,,,,3,,0.6,
185,Chad,3,,,,,3,,0.2,
186,Liberia,3,,,,,3,,0.6,
187,Saint Lucia,3,,,,1,2,,16,
188,Sint Maarten,3,,,,,3,,70,
189,Somalia,3,,,,,3,,0.2,
190,MS Zaandam,2,,,,,2,,,
191,Anguilla,2,,,,,2,,133,
192,Belize,2,,,,,2,,5,
193,British Virgin Islands,2,,,,,2,,66,
194,Guinea-Bissau,2,,,,,2,,1,
195,Saint Kitts and Nevis,2,,,,,2,,38,
196,Turks and Caicos,2,,,,,2,,52,
197,Libya,1,,,,,1,,0.1,
198,Papua New Guinea,1,,,,,1,,0.1,
199,St. Vincent Grenadines,1,,,,,1,,9,
200,Timor-Leste,1,,,,,1,,0.8,
201,Total:,"597,458","1,146","27,370",29,"133,373","436,715","23,559",76.6,3.5
