,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,"81,285",+67,"3,287",+6,"74,051","3,947","1,235",56,2
1,Italy,"80,539","+6,153","8,215",+712,"10,361","61,963","3,612","1,332",136
2,USA,"75,665","+7,454","1,100",+73,"1,863","72,702","2,096",229,3
3,Spain,"56,197","+6,682","4,145",+498,"7,015","45,037","3,166","1,202",89
4,Germany,"43,646","+6,323",239,+33,"5,673","37,734",23,521,3
5,Iran,"29,406","+2,389","2,234",+157,"10,457","16,715","2,746",350,27
6,France,"25,233",,"1,331",,"3,900","20,002","2,827",387,20
7,Switzerland,"11,712",+815,191,+38,131,"11,390",141,"1,353",22
8,UK,"9,849",+320,477,+12,135,"9,237",163,145,7
9,S. Korea,"9,241",+104,131,+5,"4,144","4,966",59,180,3
10,Netherlands,"7,431","+1,019",434,+78,3,"6,994",582,434,25
11,Austria,"6,703","+1,115",49,+18,112,"6,542",28,744,5
12,Belgium,"6,235","+1,298",220,+42,675,"5,340",605,538,19
13,Canada,"3,579",+170,36,,185,"3,358",35,95,1.0
14,Portugal,"3,544",+549,60,+17,43,"3,441",61,348,6
15,Norway,"3,316",+232,14,,6,"3,296",70,612,3
16,Sweden,"2,840",+314,71,+9,16,"2,753",176,281,7
17,Australia,"2,806",+130,13,+2,170,"2,623",11,110,0.5
18,Israel,"2,666",+297,8,+3,68,"2,590",39,308,0.9
19,Brazil,"2,611",+57,63,+4,6,"2,542",18,12,0.3
20,Turkey,"2,433",,59,,26,"2,348",136,29,0.7
21,Malaysia,"2,031",+235,23,+3,215,"1,793",45,63,0.7
22,Czechia,"1,925",+271,9,+3,10,"1,906",34,180,0.8
23,Denmark,"1,877",+153,41,+7,1,"1,835",94,324,7
24,Ireland,"1,564",,9,,5,"1,550",39,317,2
25,Luxembourg,"1,453",+120,9,+1,6,"1,438",3,"2,321",14
26,Japan,"1,399",+92,47,+2,359,993,57,11,0.4
27,Ecuador,"1,382",+171,34,+5,3,"1,345",2,78,2
28,Chile,"1,306",+164,4,+1,22,"1,280",7,68,0.2
29,Pakistan,"1,179",+116,9,+1,21,"1,149",5,5,0.04
30,Poland,"1,163",+112,14,,7,"1,142",3,31,0.4
31,Thailand,"1,045",+111,4,,88,953,4,15,0.06
32,Romania,"1,029",+123,18,+1,94,917,29,53,0.9
33,Saudi Arabia,"1,012",+112,3,+1,33,976,6,29,0.09
34,Finland,958,+78,5,+2,10,943,24,173,0.9
35,South Africa,927,+218,,,12,915,2,16,
36,Indonesia,893,+103,78,+20,35,780,,3,0.3
37,Greece,892,+71,26,+4,36,830,53,86,2
38,Russia,840,+182,3,,38,799,8,6,0.02
39,Iceland,802,+65,2,,68,732,11,"2,350",6
40,India,719,+62,16,+4,45,658,,0.5,0.01
41,Diamond Princess,712,,10,,597,105,15,,
42,Philippines,707,+71,45,+7,28,634,1,6,0.4
43,Singapore,683,+52,2,,172,509,17,117,0.3
44,Peru,580,+100,9,,14,557,14,18,0.3
45,Slovenia,562,+34,6,+1,10,546,14,270,3
46,Panama,558,,8,,2,548,20,129,2
47,Estonia,538,+134,1,,8,529,6,406,0.8
48,Qatar,537,,,,41,496,6,186,
49,Argentina,502,,8,,52,442,,11,0.2
50,Croatia,495,+53,2,+1,22,471,14,121,0.5
51,Dominican Republic,488,+96,10,,3,475,,45,0.9
52,Mexico,475,+70,6,+1,4,465,1,4,0.05
53,Colombia,470,,4,,8,458,,9,0.08
54,Bahrain,458,+39,4,,204,250,1,269,2
55,Serbia,457,+73,7,+3,15,435,21,52,0.8
56,Egypt,456,,21,,95,340,,4,0.2
57,Hong Kong,453,+42,4,,110,339,5,60,0.5
58,Iraq,382,+36,36,+7,105,241,,9,0.9
59,Lebanon,368,+35,6,,23,339,3,54,0.9
60,Algeria,367,+65,25,+4,29,313,,8,0.6
61,UAE,333,,2,,52,279,2,34,0.2
62,Lithuania,290,+16,4,,1,285,1,107,1
63,Armenia,290,+25,1,+1,18,271,6,98,0.3
64,New Zealand,283,,,,27,256,,59,
65,Morocco,275,+50,10,+4,8,257,1,7,0.3
66,Bulgaria,264,+22,3,,8,253,8,38,0.4
67,Hungary,261,+35,10,,28,223,6,27,1
68,Taiwan,252,+17,2,,29,221,,11,0.08
69,Latvia,244,+23,,,1,243,,129,
70,Slovakia,226,+10,,,2,224,2,41,
71,Andorra,224,+36,3,+2,1,220,6,"2,899",39
72,Uruguay,217,,,,,217,3,62,
73,San Marino,208,,21,,4,183,12,"6,130",619
74,Kuwait,208,+13,,,49,159,7,49,
75,North Macedonia,201,+24,3,,3,195,1,96,1
76,Costa Rica,201,,2,,2,197,4,39,0.4
77,Tunisia,200,+27,6,+1,2,192,10,17,0.5
78,Bosnia and Herzegovina,189,+13,3,,2,184,1,58,0.9
79,Moldova,177,+28,1,,2,174,28,44,0.2
80,Albania,174,+28,6,+1,17,151,3,60,2
81,Jordan,172,,,,1,171,,17,
82,Ukraine,162,+17,5,,1,156,,4,0.1
83,Vietnam,153,+5,,,20,133,3,2,
84,Burkina Faso,152,+6,4,,10,138,,7,0.2
85,Cyprus,146,+14,3,,4,139,3,121,2
86,Faeroe Islands,140,+8,,,47,93,,"2,865",
87,Réunion,135,+24,,,1,134,,151,
88,Malta,134,+5,,,2,132,1,303,
89,Ghana,132,+64,4,,1,127,,4,0.1
90,Azerbaijan,122,+29,3,+1,15,104,6,12,0.3
91,Brunei,114,+5,,,5,109,1,261,
92,Kazakhstan,111,+30,1,+1,2,108,,6,0.05
93,Oman,109,+10,,,23,86,,21,
94,Sri Lanka,106,+4,,,7,99,3,5,
95,Venezuela,106,,,,15,91,2,4,
96,Senegal,105,+6,,,9,96,,6,
97,Cambodia,96,,,,10,86,1,6,
98,Afghanistan,94,+10,2,,2,90,,2,0.05
99,Belarus,86,,,,29,57,2,9,
100,Palestine,84,+13,1,,17,66,,16,0.2
101,Mauritius,81,+33,2,,,79,1,64,2
102,Ivory Coast,80,,,,3,77,,3,
103,Georgia,79,+4,,,10,69,1,20,
104,Cameroon,75,,1,,2,72,,3,0.04
105,Guadeloupe,73,,1,,,72,4,182,2
