,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,"81,285",,"3,287",,"74,051","3,947","1,235",56,2
1,USA,"83,672","+15,461","1,209",+182,"1,864","80,599","2,122",253,4
2,Italy,"80,589","+6,203","8,215",+712,"10,361","62,013","3,612","1,333",136
3,Spain,"57,786","+8,271","4,365",+718,"7,015","46,406","3,166","1,236",93
4,Germany,"43,938","+6,615",267,+61,"5,673","37,998",23,524,3
5,Iran,"29,406","+2,389","2,234",+157,"10,457","16,715","2,746",350,27
6,France,"29,155","+3,922","1,696",+365,"4,948","22,511","3,375",447,26
7,Switzerland,"11,811",+914,191,+38,131,"11,489",141,"1,365",22
8,UK,"11,658","+2,129",578,+115,135,"10,945",163,172,9
9,S. Korea,"9,241",+104,131,+5,"4,144","4,966",59,180,3
10,Netherlands,"7,431","+1,019",434,+78,3,"6,994",761,434,25
11,Austria,"6,909","+1,321",49,+18,112,"6,748",96,767,5
12,Belgium,"6,235","+1,298",220,+42,675,"5,340",605,538,19
13,Canada,"4,043",+634,39,+3,228,"3,776",120,107,1
14,Turkey,"3,629","+1,196",75,+16,26,"3,528",136,43,0.9
15,Portugal,"3,544",+549,60,+17,43,"3,441",61,348,6
16,Norway,"3,369",+285,14,,6,"3,349",70,621,3
17,Australia,"2,996",+320,13,+2,170,"2,813",11,117,0.5
18,Brazil,"2,985",+431,77,+18,6,"2,902",18,14,0.4
19,Sweden,"2,840",+314,77,+15,16,"2,747",176,281,8
20,Israel,"2,693",+324,8,+3,68,"2,617",46,311,0.9
21,Malaysia,"2,031",+235,23,+3,215,"1,793",45,63,0.7
22,Czechia,"1,925",+271,9,+3,10,"1,906",34,180,0.8
23,Denmark,"1,877",+153,41,+7,1,"1,835",94,324,7
24,Ireland,"1,819",+255,19,+10,5,"1,795",47,368,4
25,Luxembourg,"1,453",+120,9,+1,6,"1,438",3,"2,321",14
26,Ecuador,"1,403",+192,34,+5,3,"1,366",58,80,2
27,Japan,"1,387",+80,47,+2,359,981,57,11,0.4
28,Chile,"1,306",+164,4,+1,22,"1,280",7,68,0.2
29,Poland,"1,221",+170,16,+2,7,"1,198",3,32,0.4
30,Pakistan,"1,201",+138,9,+1,21,"1,171",5,5,0.04
31,Thailand,"1,045",+111,4,,88,953,4,15,0.06
32,Romania,"1,029",+123,23,+6,94,912,29,53,1
33,Saudi Arabia,"1,012",+112,3,+1,33,976,6,29,0.09
34,Finland,958,+78,5,+2,10,943,24,173,0.9
35,South Africa,927,+218,,,12,915,2,16,
36,Indonesia,893,+103,78,+20,35,780,,3,0.3
37,Greece,892,+71,26,+4,36,830,53,86,2
38,Russia,840,+182,3,,38,799,8,6,0.02
39,Iceland,802,+65,2,,82,718,11,"2,350",6
40,India,727,+70,20,+8,45,662,,0.5,0.01
41,Diamond Princess,712,,10,,597,105,15,,
42,Philippines,707,+71,45,+7,28,634,1,6,0.4
43,Singapore,683,+52,2,,172,509,17,117,0.3
44,Peru,580,+100,9,,14,557,14,18,0.3
45,Slovenia,562,+34,6,+1,10,546,14,270,3
46,Panama,558,,8,,2,548,20,129,2
47,Qatar,549,+12,,,43,506,6,191,
48,Estonia,538,+134,1,,8,529,6,406,0.8
49,Argentina,502,,9,+1,63,430,,11,0.2
50,Egypt,495,+39,24,+3,102,369,,5,0.2
51,Croatia,495,+53,3,+2,22,470,14,121,0.7
52,Colombia,491,+21,6,+2,8,477,,10,0.1
53,Dominican Republic,488,+96,10,,3,475,,45,0.9
54,Mexico,475,+70,6,+1,4,465,1,4,0.05
55,Bahrain,458,+39,4,,204,250,1,269,2
56,Serbia,457,+73,7,+3,15,435,21,52,0.8
57,Hong Kong,453,+42,4,,110,339,5,60,0.5
58,Iraq,382,+36,36,+7,105,241,,9,0.9
59,Lebanon,368,+35,6,,23,339,3,54,0.9
60,Algeria,367,+65,25,+4,29,313,,8,0.6
61,UAE,333,,2,,52,279,2,34,0.2
62,Lithuania,299,+25,4,,1,294,1,110,1
63,Armenia,290,+25,1,+1,18,271,6,98,0.3
64,New Zealand,283,,,,27,256,,59,
65,Morocco,275,+50,11,+5,8,256,1,7,0.3
66,Bulgaria,264,+22,3,,8,253,8,38,0.4
67,Hungary,261,+35,10,,28,223,6,27,1
68,Taiwan,252,+17,2,,29,221,,11,0.08
69,Latvia,244,+23,,,1,243,,129,
70,Costa Rica,231,+30,2,,2,227,5,45,0.4
71,Slovakia,226,+10,,,2,224,2,41,
72,Andorra,224,+36,3,+2,1,220,6,"2,899",39
73,Uruguay,217,,,,,217,3,62,
74,Jordan,212,+40,,,1,211,,21,
75,San Marino,208,,21,,4,183,12,"6,130",619
76,Kuwait,208,+13,,,49,159,7,49,
77,North Macedonia,201,+24,3,,3,195,1,96,1
78,Tunisia,197,+24,6,+1,2,189,10,17,0.5
79,Ukraine,196,+51,5,,1,190,,4,0.1
80,Bosnia and Herzegovina,191,+15,3,,2,186,1,58,0.9
81,Moldova,177,+28,1,,2,174,28,44,0.2
82,Albania,174,+28,6,+1,17,151,3,60,2
83,Vietnam,153,+5,,,20,133,3,2,
84,Burkina Faso,152,+6,7,+3,10,135,,7,0.3
85,Cyprus,146,+14,3,,4,139,3,121,2
86,Faeroe Islands,140,+8,,,47,93,,"2,865",
87,Réunion,135,+24,,,1,134,,151,
88,Malta,134,+5,,,2,132,1,303,
89,Ghana,132,+64,4,,1,127,,4,0.1
90,Azerbaijan,122,+29,3,+1,15,104,6,12,0.3
91,Brunei,114,+5,,,5,109,1,261,
92,Kazakhstan,111,+30,1,+1,2,108,,6,0.05
93,Oman,109,+10,,,23,86,,21,
94,Venezuela,107,+1,,,15,92,2,4,
95,Sri Lanka,106,+4,,,7,99,3,5,
96,Senegal,105,+6,,,9,96,,6,
97,Cambodia,96,,,,10,86,1,6,
98,Ivory Coast,96,+16,,,3,93,,4,
99,Afghanistan,94,+10,4,+2,2,88,,2,0.1
100,Belarus,86,,,,29,57,2,9,
101,Palestine,84,+13,1,,17,66,,16,0.2
102,Mauritius,81,+33,2,,,79,1,64,2
103,Georgia,79,+4,,,11,68,1,20,
104,Cameroon,75,,1,,2,72,,3,0.04
105,Uzbekistan,75,+15,,,,75,4,2,
106,Guadeloupe,73,,1,,,72,4,182,2
107,Montenegro,69,+16,1,,,68,1,110,2
108,Cuba,67,+10,2,+1,1,64,2,6,0.2
109,Channel Islands,66,+20,1,+1,,65,,380,6
110,Martinique,66,,1,,,65,7,176,3
111,Nigeria,65,+14,1,,2,62,,0.3,0.00
112,Trinidad and Tobago,65,+5,1,,,64,,46,0.7
113,Liechtenstein,56,+5,,,,56,,"1,469",
114,Honduras,52,,1,+1,,51,,5,0.1
115,DRC,51,+3,3,+1,,48,,0.6,0.03
116,Rwanda,50,+9,,,,50,,4,
117,Bangladesh,44,+5,5,,11,28,1,0.3,0.03
118,Kyrgyzstan,44,,,,,44,,7,
119,Bolivia,43,+11,,,,43,,4,
120,Paraguay,41,+4,3,,,38,1,6,0.4
121,Mayotte,36,,,,,36,,132,
122,Gibraltar,35,+9,,,13,22,,"1,039",
123,Monaco,33,+2,,,1,32,,841,
124,Kenya,31,+3,1,+1,1,29,,0.6,0.02
125,Macao,31,,,,10,21,,48,
126,French Polynesia,30,+5,,,,30,,107,
127,Aruba,28,+9,,,1,27,,262,
128,French Guiana,28,,,,6,22,,94,
129,Jamaica,26,,1,,2,23,,9,0.3
130,Guatemala,25,+1,1,,4,20,,1,0.06
131,Isle of Man,25,+2,,,,25,,294,
132,Madagascar,23,+4,,,,23,,0.8,
133,Togo,23,,,,1,22,,3,
134,Barbados,18,,,,,18,,63,
135,Zambia,16,+4,,,,16,,0.9,
136,Bermuda,15,+8,,,2,13,,241,
137,New Caledonia,14,,,,,14,,49,
138,Uganda,14,,,,,14,,0.3,
139,El Salvador,13,+4,,,,13,,2,
140,Maldives,13,,,,8,5,,24,
141,Tanzania,13,,,,,13,,0.2,
142,Equatorial Guinea,12,+3,,,,12,,9,
143,Ethiopia,12,,,,,12,,0.1,
144,Djibouti,11,,,,,11,,11,
145,Dominica,11,,,,,11,,153,
146,Mongolia,11,+1,,,,11,,3,
147,Saint Martin,11,,,,,11,,284,
148,Niger,10,+3,1,,,9,,0.4,0.04
149,Bahamas,9,+4,,,1,8,,23,
150,Cayman Islands,8,,1,,,7,,122,15
151,Haiti,8,,,,,8,,0.7,
152,Namibia,8,+1,,,2,6,,3,
153,Suriname,8,,,,,8,,14,
154,Gabon,7,+1,1,,,6,,3,0.4
155,Antigua and Barbuda,7,+4,,,,7,,71,
156,Grenada,7,+6,,,,7,,62,
157,Mozambique,7,+2,,,,7,,0.2,
158,Seychelles,7,,,,,7,,71,
159,Curaçao,6,,1,,2,3,,37,6
160,Benin,6,,,,,6,,0.5,
161,Eritrea,6,+2,,,,6,,2,
162,Greenland,6,,,,2,4,,106,
163,Laos,6,+3,,,,6,,0.8,
164,Eswatini,6,+2,,,,6,,5,
165,Guyana,5,,1,,,4,,6,1
166,Fiji,5,,,,,5,,6,
167,Montserrat,5,+4,,,,5,,"1,002",
168,Myanmar,5,+2,,,,5,,0.09,
169,Syria,5,,,,,5,,0.3,
170,Cabo Verde,4,,1,,,3,,7,2
171,Angola,4,+1,,,,4,,0.1,
172,Congo,4,,,,,4,,0.7,
173,Guinea,4,,,,,4,,0.3,
174,Vatican City,4,,,,,4,,"4,994",
175,Mali,4,+2,,,,4,,0.2,
176,Gambia,3,,1,,,2,,1,0.4
177,Sudan,3,,1,,,2,,0.07,0.02
178,Zimbabwe,3,,1,,,2,,0.2,0.07
179,Nepal,3,,,,1,2,,0.1,
180,CAR,3,,,,,3,,0.6,
181,Chad,3,,,,,3,,0.2,
182,Liberia,3,,,,,3,,0.6,
183,Mauritania,3,+1,,,,3,,0.6,
184,St. Barth,3,,,,,3,,304,
185,Saint Lucia,3,,,,,3,,16,
186,Sint Maarten,3,,,,,3,,70,
187,Anguilla,2,+2,,,,2,,133,
188,Belize,2,,,,,2,,5,
189,Bhutan,2,,,,,2,,3,
190,British Virgin Islands,2,,,,,2,,66,
191,Guinea-Bissau,2,,,,,2,,1,
192,Nicaragua,2,,,,,2,,0.3,
193,Saint Kitts and Nevis,2,,,,,2,,38,
194,Somalia,2,+1,,,,2,,0.1,
195,Turks and Caicos,2,+1,,,,2,,52,
196,Libya,1,,,,,1,,0.1,
197,Papua New Guinea,1,,,,,1,,0.1,
198,St. Vincent Grenadines,1,,,,,1,,9,
199,Timor-Leste,1,,,,,1,,0.8,
200,Total:,"529,614","58,579","23,976","2,694","123,380","382,258","19,516",67.9,3.1
